total_area,street
75.5,Руденко
150.0,Грушевського
162.0,Миколи Голого (Лебедєва-Кумача)
45.0,Омельяновича-Павленка (Суворова)
62.0,Північно-Сирецька
75.0,Б. Житомирська
90.4,Українки
70.0,Тютюнника (Анрі Барбюса)
95.0,Данченко
555.0,Ковпака
37.62,Радченко
93.0,Лебедєва
55.0,Драгомирова
102.0,Драгомирова
94.0,Набережно-Рибальська
41.0,Сергія Колоса (Леніна)
77.5,Причальна
87.98,Перемоги (Брест-Литовський)
65.91,Визволителів
67.0,Сверстюка (Марини Раскової)
127.24,Набережно-Рибальська
31.0,Порика
87.0,Гречка
82.0,Зарічна
50.0,Бажана
40.0,Радченко
70.0,Михайлівська
75.0,Ломоносова
96.0,Щербаківського (Щербакова)
56.0,Симоненко
43.0,Дніпровська
119.0,Драгомирова
43.0,Андріївська
22.0,Копилівська
105.0,Урлівська
44.0,Єреванська
69.0,Драгоманова
45.0,ЖК Stanford
95.0,Правди
28.0,Комарова
40.0,Правди
161.0,Толстого
100.0,Харківське
65.0,ЖК Лебединий
213.0,Паторжинського
62.0,Повітрофлотський
63.0,Правди
90.0,Алмазова (Кутузова)
39.0,ЖК 52 Перлина (Pechersk Plaza)
73.0,Малиновського
34.0,Райдужна
50.0,Маланюка (Степана Сагайдака)
39.0,Дінця
55.0,Федорова
58.0,Срібнокільська
52.0,ЖК Nordica Residence
92.0,Липківського (Урицького)
68.0,Дінця
84.7,Маланюка (Степана Сагайдака)
65.0,Перемоги (Брест-Литовський)
145.0,Парково-Сирецька (Шамрило Тимофія)
58.0,Ломоносова
76.0,Маяковського
46.0,Багговутівська
88.0,Дарницький
93.3,Чавдар
41.6,Наддніпрянське
58.0,Героїв Сталінграда
52.0,Правди
70.0,Конєва
65.0,Воскресенська
47.0,Саперне Поле
79.0,Ясинуватський
34.0,Потапова
98.0,Кондратюка
50.0,Чаадаєва
70.0,Пчілки
45.0,Гречка
150.0,Саперне Поле
66.0,Глибочицька
65.0,Причальна
130.0,Болсунівська (Сергія Струтинського)
70.0,Сікорського (Танкова)
60.0,Костанайська
78.0,Богатирська
